against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,defense,experience_growth,height_m,hp,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35.0,3840.0,70.0,195.0,255.0,30.0,1000000.0,0.3,40.0,50.0,13.0,20.0,20.0,50.0,0,13,3.2,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25.0,3840.0,70.0,205.0,120.0,50.0,1000000.0,0.6,45.0,50.0,14.0,25.0,25.0,35.0,0,13,10.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150.0,3840.0,70.0,495.0,45.0,40.0,1000000.0,1.0,65.0,50.0,15.0,15.0,80.0,145.0,0,13,29.5,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840.0,70.0,251.0,255.0,40.0,1059860.0,0.3,40.0,50.0,16.0,35.0,35.0,56.0,12,7,1.8,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,349.0,120.0,55.0,1059860.0,1.1,63.0,50.0,17.0,50.0,50.0,71.0,12,7,30.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80.0,3840.0,70.0,579.0,45.0,80.0,1059860.0,1.5,83.0,50.0,18.0,135.0,80.0,121.0,12,7,39.5,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,3840.0,70.0,253.0,255.0,35.0,1000000.0,1.165,30.0,50.0,19.0,25.0,35.0,72.0,12,1,61.40551282051282,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,3840.0,70.0,413.0,127.0,70.0,1000000.0,1.165,75.0,50.0,20.0,40.0,80.0,77.0,12,1,61.40551282051282,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60.0,3840.0,70.0,262.0,255.0,30.0,1000000.0,0.3,40.0,50.0,21.0,31.0,31.0,70.0,12,7,2.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,3840.0,70.0,442.0,90.0,65.0,1000000.0,1.2,65.0,50.0,22.0,61.0,61.0,100.0,12,7,38.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60.0,5120.0,70.0,288.0,255.0,44.0,1000000.0,2.0,35.0,50.0,23.0,40.0,54.0,55.0,13,7,6.9,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95.0,5120.0,70.0,448.0,90.0,69.0,1000000.0,3.5,60.0,50.0,24.0,65.0,79.0,80.0,13,7,65.0,1.0,0.0
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55.0,2560.0,70.0,320.0,190.0,40.0,1000000.0,0.4,35.0,50.0,25.0,50.0,50.0,90.0,3,7,6.0,1.0,0.0
1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85.0,2560.0,70.0,485.0,75.0,50.0,1000000.0,1.165,60.0,50.0,26.0,95.0,85.0,110.0,3,3,61.40551282051282,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75.0,5120.0,70.0,300.0,255.0,90.0,1000000.0,1.165,50.0,50.0,27.0,10.0,35.0,40.0,10,11,61.40551282051282,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120.0,70.0,450.0,90.0,120.0,1000000.0,1.165,75.0,50.0,28.0,25.0,65.0,65.0,10,11,61.40551282051282,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47.0,5120.0,70.0,275.0,235.0,52.0,1059860.0,0.4,55.0,0.0,29.0,40.0,40.0,41.0,13,7,7.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62.0,5120.0,70.0,365.0,120.0,67.0,1059860.0,0.8,70.0,0.0,30.0,55.0,55.0,56.0,13,7,20.0,1.0,0.0
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92.0,5120.0,70.0,505.0,45.0,87.0,1059860.0,1.3,90.0,0.0,31.0,75.0,85.0,76.0,13,10,60.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57.0,5120.0,70.0,273.0,235.0,40.0,1059860.0,0.5,46.0,100.0,32.0,40.0,40.0,50.0,13,7,9.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72.0,5120.0,70.0,365.0,120.0,57.0,1059860.0,0.9,61.0,100.0,33.0,55.0,55.0,65.0,13,7,19.5,1.0,0.0
0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102.0,5120.0,70.0,505.0,45.0,77.0,1059860.0,1.4,81.0,100.0,34.0,85.0,75.0,85.0,13,10,62.0,1.0,0.0
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560.0,140.0,323.0,150.0,48.0,800000.0,0.6,70.0,24.6,35.0,60.0,65.0,35.0,4,7,7.5,1.0,0.0
0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560.0,140.0,483.0,25.0,73.0,800000.0,1.3,95.0,24.6,36.0,95.0,90.0,60.0,4,7,40.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41.0,5120.0,70.0,299.0,190.0,40.0,1000000.0,1.165,38.0,24.6,37.0,50.0,65.0,65.0,6,11,61.40551282051282,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67.0,5120.0,70.0,505.0,75.0,75.0,1000000.0,1.165,73.0,24.6,38.0,81.0,100.0,109.0,6,11,61.40551282051282,1.0,0.0
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45.0,2560.0,70.0,270.0,170.0,20.0,800000.0,0.5,115.0,24.6,39.0,45.0,25.0,20.0,12,4,5.5,1.0,0.0
0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70.0,2560.0,70.0,435.0,50.0,45.0,800000.0,1.0,140.0,24.6,40.0,85.0,50.0,45.0,12,4,12.0,1.0,0.0
0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,45.0,3840.0,70.0,245.0,255.0,35.0,1000000.0,0.8,40.0,50.0,41.0,30.0,40.0,55.0,13,7,7.5,1.0,0.0
0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2.0,1.0,0.5,2.0,2.0,1.0,1.0,80.0,3840.0,70.0,455.0,90.0,70.0,1000000.0,1.6,75.0,50.0,42.0,65.0,75.0,90.0,13,7,55.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,50.0,5120.0,70.0,320.0,255.0,55.0,1059860.0,0.5,45.0,50.0,43.0,75.0,65.0,30.0,9,13,5.4,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,65.0,5120.0,70.0,395.0,120.0,70.0,1059860.0,0.8,60.0,50.0,44.0,85.0,75.0,40.0,9,13,8.6,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,80.0,5120.0,70.0,490.0,45.0,85.0,1059860.0,1.2,75.0,50.0,45.0,110.0,90.0,50.0,9,13,18.6,1.0,0.0
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,70.0,5120.0,70.0,285.0,190.0,55.0,1000000.0,0.3,35.0,50.0,46.0,45.0,55.0,25.0,0,9,5.4,1.0,0.0
2.0,1.0,1.0,0.5,1.0,0.5,4.0,4.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5,95.0,5120.0,70.0,405.0,75.0,80.0,1000000.0,1.0,60.0,50.0,47.0,60.0,80.0,30.0,0,9,29.5,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,55.0,5120.0,70.0,305.0,190.0,50.0,1000000.0,1.0,60.0,50.0,48.0,40.0,55.0,45.0,0,13,30.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,65.0,5120.0,70.0,450.0,75.0,60.0,1000000.0,1.5,70.0,50.0,49.0,90.0,75.0,90.0,0,13,12.5,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,55.0,5120.0,70.0,265.0,255.0,30.0,1000000.0,1.165,10.0,50.0,50.0,35.0,45.0,90.0,10,10,61.40551282051282,1.0,0.0
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100.0,5120.0,70.0,425.0,50.0,60.0,1000000.0,1.165,35.0,50.0,51.0,50.0,70.0,110.0,10,10,61.40551282051282,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,5120.0,70.0,290.0,255.0,35.0,1000000.0,1.165,40.0,50.0,52.0,50.0,40.0,90.0,12,1,61.40551282051282,1.0,0.0
1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,5120.0,70.0,440.0,90.0,60.0,1000000.0,1.165,65.0,50.0,53.0,75.0,65.0,115.0,12,1,61.40551282051282,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,52.0,5120.0,70.0,320.0,190.0,48.0,1000000.0,0.8,50.0,50.0,54.0,65.0,50.0,55.0,17,7,19.6,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,82.0,5120.0,70.0,500.0,75.0,78.0,1000000.0,1.7,80.0,50.0,55.0,95.0,80.0,85.0,17,7,76.6,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80.0,5120.0,70.0,305.0,190.0,35.0,1000000.0,0.5,40.0,50.0,56.0,35.0,45.0,70.0,5,7,28.0,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,105.0,5120.0,70.0,455.0,75.0,60.0,1000000.0,1.0,65.0,50.0,57.0,60.0,70.0,95.0,5,7,32.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,70.0,5120.0,70.0,350.0,190.0,45.0,1250000.0,0.7,55.0,75.4,58.0,70.0,50.0,60.0,6,7,19.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,110.0,5120.0,70.0,555.0,75.0,80.0,1250000.0,1.9,90.0,75.4,59.0,100.0,80.0,95.0,6,7,155.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,50.0,5120.0,70.0,300.0,255.0,40.0,1059860.0,0.6,40.0,50.0,60.0,40.0,40.0,90.0,17,7,12.4,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120.0,70.0,385.0,120.0,65.0,1059860.0,1.0,65.0,50.0,61.0,50.0,50.0,90.0,17,7,20.0,1.0,0.0
0.5,0.5,1.0,2.0,2.0,1.0,0.5,2.0,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5,95.0,5120.0,70.0,510.0,45.0,95.0,1059860.0,1.3,90.0,50.0,62.0,70.0,90.0,70.0,17,5,54.0,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,20.0,5120.0,70.0,310.0,200.0,15.0,1059860.0,0.9,25.0,75.4,63.0,105.0,55.0,90.0,14,7,19.5,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,35.0,5120.0,70.0,400.0,100.0,30.0,1059860.0,1.3,40.0,75.4,64.0,120.0,70.0,105.0,14,7,56.5,1.0,0.0
2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,50.0,5120.0,70.0,600.0,50.0,65.0,1059860.0,1.5,55.0,75.4,65.0,175.0,105.0,150.0,14,7,48.0,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,80.0,5120.0,70.0,305.0,180.0,50.0,1059860.0,0.8,70.0,75.4,66.0,35.0,35.0,35.0,5,7,19.5,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,100.0,5120.0,70.0,405.0,90.0,70.0,1059860.0,1.5,80.0,75.4,67.0,50.0,60.0,45.0,5,7,70.5,1.0,0.0
0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,130.0,5120.0,70.0,505.0,45.0,80.0,1059860.0,1.6,90.0,75.4,68.0,65.0,85.0,55.0,5,7,130.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,75.0,5120.0,70.0,300.0,255.0,35.0,1059860.0,0.7,50.0,50.0,69.0,70.0,30.0,40.0,9,13,4.0,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,90.0,5120.0,70.0,390.0,120.0,50.0,1059860.0,1.0,65.0,50.0,70.0,85.0,45.0,55.0,9,13,6.4,1.0,0.0
1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,105.0,5120.0,70.0,490.0,45.0,65.0,1059860.0,1.7,80.0,50.0,71.0,100.0,70.0,70.0,9,13,15.5,1.0,0.0
0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,40.0,5120.0,70.0,335.0,190.0,35.0,1250000.0,0.9,40.0,50.0,72.0,50.0,100.0,70.0,17,13,45.5,1.0,0.0
0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,70.0,5120.0,70.0,515.0,60.0,65.0,1250000.0,1.6,80.0,50.0,73.0,80.0,120.0,100.0,17,13,55.0,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,80.0,3840.0,70.0,300.0,255.0,100.0,1059860.0,1.165,40.0,50.0,74.0,30.0,30.0,20.0,15,10,61.40551282051282,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,95.0,3840.0,70.0,390.0,120.0,115.0,1059860.0,1.165,55.0,50.0,75.0,45.0,45.0,35.0,15,10,61.40551282051282,1.0,0.0
1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,120.0,3840.0,70.0,495.0,45.0,130.0,1059860.0,1.165,80.0,50.0,76.0,55.0,65.0,45.0,15,10,61.40551282051282,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,85.0,5120.0,70.0,410.0,190.0,55.0,1000000.0,1.0,50.0,50.0,77.0,65.0,65.0,90.0,6,7,30.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,100.0,5120.0,70.0,500.0,60.0,70.0,1000000.0,1.7,65.0,50.0,78.0,80.0,80.0,105.0,6,7,95.0,1.0,0.0
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,65.0,5120.0,70.0,315.0,190.0,65.0,1000000.0,1.2,90.0,50.0,79.0,40.0,40.0,15.0,17,14,36.0,1.0,0.0
2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75.0,5120.0,70.0,590.0,75.0,180.0,1000000.0,1.6,95.0,50.0,80.0,130.0,80.0,30.0,17,14,78.5,1.0,0.0
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,35.0,5120.0,70.0,325.0,190.0,70.0,1000000.0,0.3,25.0,55.15576102418208,81.0,95.0,55.0,45.0,3,16,6.0,1.0,0.0
0.5,1.0,0.5,0.5,0.5,2.0,2.0,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0,60.0,5120.0,70.0,465.0,60.0,95.0,1000000.0,1.0,50.0,55.15576102418208,82.0,120.0,70.0,70.0,3,16,60.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,5120.0,70.0,377.0,45.0,55.0,1000000.0,0.8,52.0,50.0,83.0,58.0,62.0,60.0,12,7,15.0,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,85.0,5120.0,70.0,310.0,190.0,45.0,1000000.0,1.4,35.0,50.0,84.0,35.0,35.0,75.0,12,7,39.2,1.0,0.0
0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,110.0,5120.0,70.0,470.0,45.0,70.0,1000000.0,1.8,60.0,50.0,85.0,60.0,60.0,110.0,12,7,85.2,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,45.0,5120.0,70.0,325.0,190.0,55.0,1000000.0,1.1,65.0,50.0,86.0,45.0,70.0,45.0,17,7,90.0,1.0,0.0
1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5,70.0,5120.0,70.0,475.0,75.0,80.0,1000000.0,1.7,90.0,50.0,87.0,70.0,95.0,70.0,17,11,120.0,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,80.0,5120.0,70.0,325.0,190.0,50.0,1000000.0,1.165,80.0,50.0,88.0,40.0,50.0,25.0,13,13,61.40551282051282,1.0,0.0
0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,105.0,5120.0,70.0,500.0,75.0,75.0,1000000.0,1.165,105.0,50.0,89.0,65.0,100.0,50.0,13,13,61.40551282051282,1.0,0.0
1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120.0,70.0,305.0,190.0,100.0,1250000.0,0.3,30.0,50.0,90.0,45.0,25.0,40.0,17,7,4.0,1.0,0.0
