TSNE1,TSNE2,n_cores
2.2600827,-27.136206,1
8.7796,19.335012,5
-39.31534,6.690941,1
9.700765,-12.544814,7
42.668556,24.24096,8
23.820358,-9.637223,4
7.4306455,18.668365,2
18.573551,-2.880048,5
-3.5191088,1.5572512,2
-38.004757,-24.681253,8
12.760197,-8.545478,7
-43.42724,-11.732434,3
12.947689,15.831414,1
50.174213,1.8494455,1
-22.911848,24.89595,3
41.909306,24.348513,8
0.15135834,18.409327,6
-50.43529,5.122341,7
50.620564,9.669174,4
-19.697075,23.046131,2
20.560678,-20.378971,5
-37.764263,-5.255621,8
-35.14931,14.322383,4
49.014183,-12.419871,1
-49.3481,11.169284,5
-10.04497,-9.050421,1
-3.8625252,-7.211209,1
32.723293,20.246075,8
49.0203,-1.5930337,6
55.79839,-6.2485104,1
-36.32036,28.655655,4
-28.163425,1.0991584,3
-40.31564,11.249256,4
2.0378664,-4.9473367,7
50.994987,2.0216894,7
37.098644,28.374043,3
-28.202366,9.197763,3
-19.700752,7.143743,2
-22.044794,31.266333,7
18.815092,-21.852484,5
-45.58712,-16.172594,2
23.841005,26.059917,2
37.487747,15.788395,7
27.917183,-18.591507,8
37.902634,28.949211,7
-13.496,21.84515,2
42.27407,26.689915,8
19.255445,-4.302439,4
-41.836533,11.219466,4
12.7321415,-29.405313,5
-2.4107502,14.520447,6
0.98490006,-27.258226,7
6.066256,-9.496941,4
-41.692905,-23.569176,5
-32.67268,-10.040113,8
-38.477837,23.688784,2
33.59412,-23.251686,4
9.767877,21.951826,7
49.64731,12.999228,2
-23.679632,2.4015017,7
-39.490017,-15.560404,5
-3.4787176,-34.44358,5
-28.600588,13.528766,7
13.6510315,-6.3448615,6
41.469387,-18.20407,6
41.09574,-12.737141,2
-32.65724,-18.497334,5
27.012102,19.147251,7
9.829244,17.657515,4
5.97154,-35.40161,8
-24.499084,27.098537,1
20.142532,28.125086,8
-40.0319,-16.6216,3
-44.684227,-14.187787,2
40.70834,-4.748099,6
-17.353712,18.366034,6
33.937492,32.4744,1
6.3194866,21.93001,5
-53.51801,-5.832952,6
-13.374922,-1.1049957,5
-3.433371,-33.46407,4
12.7469,-5.0432763,1
-21.192558,-21.021132,3
12.626822,-17.751774,6
30.141508,30.739552,2
7.009997,2.4283745,6
-49.77384,11.946741,5
-25.86651,-17.116327,2
13.366653,12.258869,5
42.042175,1.7470411,2
-54.600456,-4.9012322,7
40.322315,-1.8846914,2
-50.227566,-19.042181,7
-47.711338,-20.450396,2
-1.0990071,24.578634,6
-50.47271,11.4497175,4
-48.507004,2.9681528,6
11.51153,-27.40153,1
19.680681,-10.523253,4
14.142448,-35.848244,8
43.281166,9.617728,5
-33.060566,-22.91168,5
28.448532,0.61347884,1
10.718997,-30.593737,2
9.582379,12.1439,6
33.33457,17.905306,8
42.25856,2.2413678,2
46.313698,6.599658,3
22.759888,-16.881264,3
-2.9043741,9.782603,4
18.44993,-19.11584,2
-39.91276,4.4457574,6
37.44532,30.60241,6
8.432134,-12.115973,8
48.09858,-12.124627,4
53.863033,-5.649858,2
-40.252747,7.4526863,8
3.5540442,12.465555,4
44.091866,16.177193,6
12.108898,31.030298,8
46.481384,0.27733845,5
48.57815,8.050924,3
39.469646,22.831047,4
-26.744469,14.344906,3
-36.77251,-3.2913997,6
13.316033,-24.346651,5
38.405296,2.0222054,7
-19.225975,-1.9157217,6
-39.616432,-2.1356776,6
19.259888,-30.774328,7
50.070824,-7.6712627,8
-0.22294766,23.647047,5
-6.5310416,15.925117,6
5.8030148,-3.2160707,4
5.118156,23.394411,8
-15.375116,18.886168,1
37.49865,-12.656533,8
-30.471752,-19.186716,1
29.361069,6.5631576,5
-14.292889,-0.106037006,5
8.465537,-35.955807,5
-38.197598,-15.826638,5
-29.022484,11.98682,8
-8.965778,-21.978102,3
-54.99558,-1.4200515,8
-23.72206,26.72866,8
-41.65387,13.548277,6
1.5302473,-27.539984,8
-37.791058,19.64614,2
4.787965,19.739164,4
16.579956,-29.418993,2
39.232807,1.0591238,6
-9.587106,25.98964,8
0.0057494785,18.886,4
-27.494661,28.332472,4
32.83526,-23.316036,7
-13.242546,-7.755859,4
-51.018288,3.0307815,5
39.832363,7.968041,3
6.545409,-4.794047,3
-44.19028,21.437761,3
-43.256725,2.1276405,2
20.59735,-33.531624,6
-36.53102,-23.518372,1
-7.4764185,13.697452,8
-40.279396,23.061977,6
-30.154339,18.59373,4
-22.906572,27.972767,5
25.190462,22.653616,5
42.07439,4.293269,5
-48.39376,-16.82759,7
12.4941845,-33.86543,4
-36.135376,22.873194,4
-5.682654,-29.230423,4
-7.602848,-23.947956,4
24.800026,21.655993,7
46.423767,19.509623,8
-4.411549,2.1316361,5
40.71424,-14.923105,7
-35.566734,-12.73544,8
17.404356,3.4083374,1
-45.912045,-6.997002,7
-30.850197,-9.31676,8
46.480774,-7.3486023,5
36.753067,-0.6710174,7
-49.408466,-16.82654,3
12.723496,-23.946247,2
16.699091,27.558542,5
-4.3475175,19.41879,6
30.16574,28.424702,3
-6.799465,-23.748077,4
2.6967306,12.500146,7
-32.310116,16.171745,7
-5.8733325,-29.634848,3
40.529385,29.595745,2
-32.90949,30.696423,2
-52.612514,-4.6195836,2
15.692753,12.718528,2
-16.134937,23.305275,6
-28.44076,-4.102263,7
-30.020351,-11.043118,8
52.664112,-9.738295,5
6.3458457,-25.14275,3
50.506493,1.0653225,7
13.940086,26.85456,3
-51.660015,9.425871,2
26.445883,2.2621458,2
-18.577644,-21.23746,7
-42.363586,20.949963,2
-8.472384,-16.158007,1
23.123663,-8.532195,5
34.05768,20.887306,7
18.625845,-13.29021,4
-5.5367823,-31.834257,3
-29.878145,21.968489,3
-36.932198,22.377018,6
2.3665586,-3.5689185,1
22.050583,-14.144181,2
2.5107586,-25.34307,5
-17.495676,-5.9920373,4
-18.298855,-22.033024,5
4.214188,-14.027097,3
42.47947,-3.6163523,2
1.8041064,-30.860964,4
23.288477,-29.950436,7
-28.264599,-20.018692,4
19.787045,-35.696808,3
28.419716,-16.488113,8
44.88972,-17.841942,5
-25.977074,-3.390348,6
-28.238651,-11.178115,7
-21.425762,10.947163,2
19.892796,-29.324085,8
30.278679,18.899204,3
-16.573465,-0.023655279,1
12.111691,-7.5604777,3
39.797188,-15.700921,1
35.808586,20.185524,6
-42.975094,2.1903932,6
18.14647,26.974365,4
11.747895,-31.471943,5
46.235172,6.288639,4
3.5653615,20.503975,8
-7.6731663,24.843822,4
1.5842459,-25.344316,8
49.406776,-9.313859,7
-26.365,31.186604,6
-0.53495646,0.5685414,2
-25.177942,32.18179,1
-38.25085,-3.3891602,6
-12.480224,19.49691,4
-50.56734,-16.237358,2
23.037546,5.692928,1
-18.036795,19.570126,2
-53.238266,8.357697,7
20.209364,-34.576332,5
0.46703538,-23.760641,7
-3.8692472,-16.70795,2
30.568766,9.69626,4
18.943043,27.991056,7
14.394659,9.218185,7
36.691635,29.141104,4
14.166068,-35.32008,2
-48.19263,7.518304,7
33.337875,-22.758955,5
16.837454,-15.107503,5
24.219244,-10.889292,3
-35.537567,16.330986,2
38.872967,28.829205,6
32.411312,7.05494,8
-10.078508,-8.466621,3
25.190207,3.3759885,8
21.228611,4.941587,4
50.991516,-3.5017452,3
5.209363,-22.989487,2
-16.936945,19.749905,3
50.497932,9.660227,5
-19.425934,-10.411383,2
16.73645,29.680159,8
-16.792173,32.721428,1
9.15415,20.172234,6
-24.141441,29.648993,3
-20.607437,33.20367,7
4.4542274,-6.8126225,4
33.507652,11.186319,2
-35.63272,24.409716,2
-13.399884,20.513075,3
19.105661,32.15702,2
29.886532,24.046417,5
-17.240934,-5.495627,8
-37.830814,-6.7933383,1
-34.33808,9.000556,4
22.321903,4.843473,1
27.54997,34.270073,5
23.50931,26.042904,1
-1.4257408,-28.57004,2
-4.271914,14.104713,8
15.72471,-22.525904,6
-36.493736,-2.5295103,3
35.59718,-11.397824,2
-41.768345,22.159782,7
-2.4568703,3.633606,2
44.409115,-14.581704,7
-20.76199,5.870384,2
-45.546455,-21.869423,3
14.232187,0.6319193,6
8.884665,16.276993,4
-0.53913265,1.8731116,8
-14.249301,-0.7711066,1
48.525986,1.9141126,1
-40.338387,-3.984099,1
3.4722435,19.859232,7
-45.60241,-0.4115134,5
-45.11011,-16.807257,2
15.299002,-14.332467,3
6.280971,-32.684074,1
43.926167,-17.505716,3
-10.404608,-27.20471,4
-12.024005,24.651705,7
-11.579316,-8.6378355,1
43.496143,-2.358575,4
-4.619895,-9.213107,8
-15.736543,0.82782465,7
-15.316757,21.907291,4
56.47486,-6.001091,1
41.37104,-12.012817,5
22.174809,2.2171545,2
-37.105892,-7.09204,6
-43.34316,3.674101,3
-3.9149778,-27.30025,4
24.106768,34.094994,3
-24.47164,26.213041,2
-42.39004,14.741996,5
3.193791,0.1611269,1
-34.440304,-8.625669,7
32.838425,8.518389,5
25.094694,0.85877645,5
34.088642,-1.4102203,1
-53.513527,-1.216424,7
-42.710823,-19.707806,6
25.627777,-12.005229,7
18.750267,-35.507305,7
-11.694304,-26.158419,5
23.123737,26.066444,7
-43.755573,19.275404,5
2.1338394,23.715183,6
-41.79712,20.272497,5
25.590973,-28.828161,4
-38.210564,21.456663,6
-11.678266,-7.710177,5
-7.745535,16.558811,2
-38.704006,2.446715,7
-39.120064,10.4460335,2
39.539284,28.533182,3
-33.14362,9.319112,3
31.004864,-5.8167486,1
-4.6067505,-29.635057,4
3.7912161,8.916937,6
6.913662,3.1053731,4
-24.589552,10.86547,3
-41.821075,7.4543796,6
18.175913,-21.909948,1
15.550764,25.031929,4
-53.29085,9.2942505,8
-15.023776,-4.2443056,7
-7.0374846,-18.178791,4
-25.524689,-22.083115,2
-43.644966,21.86162,5
11.416533,-3.7650454,8
-20.076206,7.75054,5
-34.141624,27.182285,8
-1.7268019,25.597637,7
-49.755806,8.429304,5
33.159748,12.247401,7
33.92668,17.034592,4
5.697306,8.632617,4
-1.2522767,-33.0924,6
37.873875,17.835415,5
-22.009726,-19.399029,5
-36.209133,-2.2476091,7
35.822803,17.59869,4
21.742653,-13.372355,4
-21.912457,-8.876645,1
-39.474052,-13.326205,6
39.06561,-0.8907096,5
-9.300375,-17.75636,6
-1.158414,1.0694218,2
4.689187,-15.004123,3
14.942619,29.32364,3
-5.7860208,9.290648,7
-49.768578,-8.924329,1
14.115685,28.074944,2
49.89023,13.150491,5
50.79083,11.524084,3
6.601576,-27.221397,4
17.3194,29.890514,4
-31.541565,-20.597048,1
40.858063,25.072187,8
-18.828665,20.81804,7
12.882454,-32.20862,5
34.201862,19.417578,6
-2.6381283,14.965402,1
19.5251,20.155994,7
-17.117828,30.86789,5
36.637154,-3.0033693,8
30.982742,3.0170176,8
-30.646927,-8.205963,6
35.15928,16.44389,4
-31.788715,21.80382,6
-6.230723,-15.696527,3
-24.535433,-19.323442,6
-8.154437,10.323807,6
45.45639,5.2287455,8
-6.083042,23.085497,2
33.16232,32.550014,5
-41.367302,15.262066,8
14.398909,-35.707287,4
7.2120643,18.932114,7
18.431028,29.736244,2
6.3866315,22.062153,3
24.122377,3.631086,4
48.292084,-9.121919,1
19.866268,-2.6614294,7
-4.46939,-34.33526,8
-55.087643,-2.0249875,1
-19.059835,-5.989977,1
32.43951,13.769299,7
-48.18452,-19.911377,7
-7.1872134,18.762066,3
38.80108,-15.431296,4
52.601692,-3.9555686,3
7.591753,9.244912,5
-22.25138,-22.482792,6
32.072433,28.521484,7
-46.65312,-8.975697,5
-33.079666,1.7644352,6
11.170772,-29.751871,6
23.665668,-7.6670585,5
51.22257,-6.236834,3
25.43882,-13.89636,7
-13.73961,24.613945,2
18.161682,22.933897,3
18.405039,-24.08784,6
-37.898567,-6.1494036,2
32.52526,-23.636026,5
27.923998,6.3122864,3
-35.841503,28.999113,1
53.246944,-1.8096154,6
45.76502,-17.378939,5
5.7499313,-23.690533,7
-42.197887,-12.932546,5
11.176756,0.062085517,6
-7.741491,-17.26492,5
-25.097284,-4.911292,2
15.485912,-3.0869281,5
-18.244116,4.0852866,1
16.743185,-5.078742,8
-13.564143,12.503543,6
18.193787,-34.772564,8
51.505936,-10.903614,1
-0.6405823,18.40574,4
-53.256767,-8.393555,8
45.41991,12.094809,8
-6.3074527,16.432726,7
-46.50383,-19.602682,6
-40.848446,18.403822,1
-2.7685616,2.4205248,1
31.894691,-21.681923,1
26.272978,2.4118435,8
34.909847,18.668152,2
-39.943115,15.743295,3
-7.074152,-9.384826,5
41.93627,-18.58538,2
6.001507,-4.3323536,6
-35.024933,27.839888,8
47.15362,18.594769,7
3.4922807,-29.255833,5
-18.21305,29.442677,7
-3.7661917,14.789095,3
-27.192036,14.724766,8
-36.650646,-25.577858,7
-16.398718,17.45726,1
-7.4104776,7.965292,2
30.976568,28.779743,2
-32.412098,-11.595595,6
23.189991,3.6741579,4
-4.960411,17.839409,5
-48.730762,-15.899486,2
-35.38899,-17.52959,8
17.795086,-35.91318,2
-20.610497,-21.43315,7
17.934933,-10.701611,8
48.99952,-8.159051,1
3.3994417,-28.534132,2
38.148216,31.08871,6
-26.011953,3.1150882,8
9.505279,-30.459942,2
19.581392,3.967454,5
7.6797476,19.92677,4
19.434082,-19.695826,6
-19.4313,-22.31767,1
-44.562145,-16.710295,6
38.652603,-19.205774,8
44.40892,12.742474,4
39.2258,27.368483,6
-13.657296,23.58425,5
11.569625,-36.42532,4
-55.73722,-6.897934,6
-18.994629,4.391343,1
36.434887,20.17516,3
-44.665344,-19.552279,2
30.686874,6.9837236,5
9.277604,-5.855653,1
-40.955,4.141234,6
36.07213,30.889666,8
-35.224022,-1.3085779,3
26.438921,3.1911538,2
-31.797825,0.76736194,8
-25.2092,0.4099841,5
-42.846203,-14.255725,6
-55.93222,-5.439291,1
-35.39535,28.992615,6
26.131748,0.25074944,5
24.401749,-16.219063,1
47.31318,-5.351588,7
38.837017,-16.710993,6
33.465294,30.887815,2
-38.923923,-5.215192,1
-39.74448,-13.225036,3
54.40114,-6.350242,8
-53.04928,8.702952,2
9.473481,-29.06956,7
-50.30861,-3.6684062,5
10.768419,19.399038,4
13.246671,-18.363733,6
54.95246,-2.1706746,7
-36.293266,-3.7427125,3
3.1825602,-2.3950515,4
21.572025,-19.559675,4
-34.844257,19.219683,6
21.582575,-12.221758,8
-21.435984,21.35417,4
56.486633,-4.1180773,7
4.2089996,-13.942277,1
-42.471924,19.975483,1
-14.16045,20.745514,8
43.242622,1.2002608,6
-42.000774,8.381857,1
-25.034904,30.582283,1
5.3149405,-10.29177,2
20.801325,-35.96229,8
-40.172607,18.439112,7
40.328163,6.7112694,2
-28.634157,27.181702,1
-41.014267,24.569506,1
37.974094,-1.0717309,5
-22.287119,-9.4631815,8
-5.450049,-27.874084,6
30.085407,6.2853026,5
40.44095,-18.25486,3
43.51731,-17.386284,5
-32.4019,-16.66323,1
-11.787715,19.827673,3
-47.40963,2.4690619,7
-42.836697,14.695376,4
2.5710356,-28.318523,5
51.831463,-6.9794664,7
-17.573875,27.112856,1
-52.4214,5.9188757,3
-6.686281,-18.772057,4
-18.013603,-27.267038,7
-49.148823,5.6389694,6
25.666206,-19.754581,7
-45.19396,-1.9996063,1
19.213129,-4.061959,5
4.815363,-23.04289,8
-31.438776,30.744638,7
-29.966324,-3.8651524,7
35.776127,-14.095454,2
-24.376368,30.253859,3
9.148776,-4.939312,3
17.118156,14.369874,3
-31.05837,2.9845872,3
41.113194,7.4052935,8
40.377438,27.848835,6
15.314295,-10.4792795,8
28.873453,32.174755,5
12.784784,-7.305949,3
29.930702,29.221077,6
-17.196798,31.031506,8
-8.740897,-8.1918335,8
13.710806,28.297396,3
35.736828,-12.51651,8
4.577094,-28.044765,7
-38.938953,-16.555683,6
-33.497066,5.5536714,4
-43.822052,-19.076056,5
-43.156487,-12.200056,5
24.062979,21.494673,5
-40.095078,12.162551,5
-36.225525,18.024155,4
-36.03091,-5.241082,2
26.74933,14.185517,6
-40.278458,-23.562115,4
-35.055233,18.589838,6
47.097034,4.1876574,6
-34.225895,28.337507,8
9.187082,14.223815,7
-38.62758,-3.0848465,3
20.97641,-27.743511,5
-32.79899,-16.092865,8
18.474346,21.388765,2
36.29395,-2.664473,6
-36.36861,-10.705449,4
-39.216408,-14.488782,8
-16.534899,31.960129,1
42.040806,-11.515077,6
-1.3081456,-27.637135,2
-53.85957,-8.311796,3
-50.01717,10.309898,3
10.357866,-36.33906,6
-44.290768,20.950605,4
52.64703,-5.0414467,2
-26.43281,-18.75572,4
49.3071,11.603781,1
12.858027,-19.15379,7
-16.585258,-4.2700763,4
6.802716,20.730362,7
14.06683,-22.331999,3
34.030346,21.793776,7
-23.932388,-6.35309,4
48.572075,3.0252712,3
8.55863,-22.050934,3
25.906393,-6.4117537,8
-38.57148,-4.1657653,5
-11.412914,-25.37636,5
7.2597837,16.913288,2
18.898619,28.342482,4
19.635208,-10.390014,5
33.463055,31.27147,2
-2.6167612,19.887512,6
-12.22646,-24.14648,8
-17.665812,-7.4058614,1
-37.075104,-15.375349,2
-51.57974,-7.2622013,8
-45.09548,-22.091803,3
-52.733086,5.946734,7
-13.358717,13.369944,5
-11.543483,-27.455881,3
6.9673905,-25.263432,8
16.850237,-11.482972,3
54.238075,-0.013168525,2
1.8511126,-23.025429,3
-9.03772,21.856539,4
-49.01813,7.0104756,3
19.481857,-21.349794,1
-50.65191,7.6134443,5
19.309618,30.84397,1
28.016804,13.780441,1
18.015,28.655323,1
-17.309004,-26.998388,5
38.99871,-2.0894523,6
-33.776386,-24.932873,3
48.32576,15.68945,6
-54.3197,-3.3594246,4
43.94595,6.4127727,3
7.8140697,12.22828,6
32.900925,32.46286,4
-7.7920876,9.474148,7
2.798545,-27.194386,6
-3.6314752,9.890208,5
13.237838,-0.30819696,7
-23.350985,-1.0166725,6
-25.00652,-3.0732112,3
-41.93992,12.565545,3
-18.864305,-6.394137,3
10.93706,31.318588,6
-47.291843,-22.441118,4
43.0394,-15.330774,2
31.296398,28.701921,5
24.809935,-32.543907,4
-18.944859,-27.134478,4
-51.837215,1.878137,7
-41.31331,-15.706401,4
-8.766304,24.311476,7
22.870974,-8.682165,3
10.197572,19.83851,1
-30.319954,30.139372,2
-42.732426,-24.688599,1
-1.3824607,25.036673,6
-7.885656,-22.654888,4
14.826792,0.53372306,5
-0.6755232,23.763113,6
-17.096344,-7.967459,4
-18.13126,4.3155184,7
-2.2127442,-34.434166,5
11.006643,31.546461,1
-15.6071415,1.7347159,1
-30.4666,22.177834,7
-24.756115,-3.6180246,4
12.381173,-24.29569,3
-29.480228,-11.722948,6
-46.97521,7.0138955,7
-32.134148,16.850082,3
21.51916,-35.10519,3
43.100605,-1.8045924,7
41.295288,-4.1434693,5
-38.175713,18.655693,7
-6.817766,-24.323824,2
-3.6099827,14.476404,4
-7.7443404,15.8653345,2
-0.7224756,1.9766951,3
24.221916,-13.305102,3
9.955064,-12.674312,5
7.3380814,-9.484683,2
12.5617,30.021421,1
-23.094942,-24.339422,8
41.833313,27.55178,5
-39.470657,15.898506,5
34.97591,-0.071547,4
-40.416187,-15.640715,8
43.545048,-18.23396,3
41.321712,-3.2064981,4
-34.964558,28.642056,2
-5.197792,-9.31862,4
-37.56161,-8.673441,7
12.195131,29.689955,8
-17.894117,-9.599748,7
41.32757,28.331175,7
-28.429192,-20.366373,8
17.21521,-3.3161483,8
23.002132,-30.620354,1
28.08269,27.624222,2
-24.526417,-1.0954895,5
52.091766,-7.8018837,2
-34.475784,-17.019047,8
51.234447,10.958921,1
-47.761013,-3.8668797,8
-32.65941,-19.063314,8
-36.68451,5.7657223,7
15.713341,-35.809566,5
28.487848,-17.449001,7
-22.910938,33.97162,8
1.2125235,23.389418,4
-46.836952,-8.63834,1
18.267399,27.271475,6
-37.831947,17.319843,3
0.51621073,-26.636192,8
-51.559494,-10.144932,8
46.083958,7.5066724,1
-24.514044,25.269602,1
47.11306,13.175564,4
31.26999,-22.895586,2
-0.83123887,23.901743,2
11.865128,-26.162592,4
12.03682,31.081749,2
18.033005,-14.718845,8
41.87811,-12.054874,6
-43.81374,-12.194897,4
-24.91034,1.5560513,5
-19.656834,0.68459666,4
37.759876,-0.5234127,8
30.138786,5.7662997,2
36.871113,-16.799316,5
39.085407,25.467842,5
20.20625,21.640703,8
-35.79564,30.023605,8
29.047888,4.7702656,3
23.353914,-16.45819,2
-38.594086,25.267632,4
-17.423481,-7.164941,4
40.816204,-19.197346,4
19.015968,-13.821799,4
-4.302467,-34.634468,3
16.538733,-22.481474,7
-34.23583,9.925322,8
-56.40755,-5.337123,2
4.198137,23.027966,8
5.5975676,-35.96011,8
-17.57633,1.9590573,4
-36.03882,7.6809616,3
30.219162,30.182676,4
13.15526,-5.816798,3
-54.310123,-7.82215,3
-32.32177,14.305294,6
-25.692823,-20.601006,5
